Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,86092
design__instance__area,3.94903E+6
design__instance_unmapped__count,0
synthesis__check_error__count,206
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00035862548975273967
power__switching__total,0.00010647482849890366
power__leakage__total,3.50862933373719E-7
power__total,0.0004654511867556721
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,1.0000000433293989E+39
timing__setup__ws__corner:nom_tt_025C_1v80,1.0000000433293989E+39
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,12
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,1.0000000433293989E+39
timing__setup__ws__corner:nom_ss_100C_1v60,1.0000000433293989E+39
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,1.0000000433293989E+39
timing__setup__ws__corner:nom_ff_n40C_1v95,1.0000000433293989E+39
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,21
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,86091
design__instance__area__stdcell,109659
design__instance__count__macros,1
design__instance__area__macros,3.83937E+6
design__instance__utilization,0.38815
design__instance__utilization__stdcell,0.0173111
design__instance__count__class:macro,1
design__instance__count__class:multi_input_combinational_cell,206
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,518968
design__instance__count__class:tap_cell,85529
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,152276
design__violations,0
design__instance__count__class:timing_repair_buffer,81
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,271
antenna_diodes_count,13
route__net,721
route__net__special,8
route__drc_errors__iter:1,244
route__wirelength__iter:1,152408
route__drc_errors__iter:2,95
route__wirelength__iter:2,152658
route__drc_errors__iter:3,50
route__wirelength__iter:3,152693
route__drc_errors__iter:4,38
route__wirelength__iter:4,152707
route__drc_errors__iter:5,38
route__wirelength__iter:5,152707
route__drc_errors__iter:6,32
route__wirelength__iter:6,152708
route__drc_errors__iter:7,32
route__wirelength__iter:7,152714
route__drc_errors__iter:8,32
route__wirelength__iter:8,152714
route__drc_errors__iter:9,32
route__wirelength__iter:9,152728
route__drc_errors__iter:10,32
route__wirelength__iter:10,152735
route__drc_errors__iter:11,32
route__wirelength__iter:11,152742
route__drc_errors__iter:12,32
route__wirelength__iter:12,152749
route__drc_errors__iter:13,32
route__wirelength__iter:13,152761
route__drc_errors__iter:14,32
route__wirelength__iter:14,152769
route__drc_errors__iter:15,32
route__wirelength__iter:15,152769
route__drc_errors__iter:16,32
route__wirelength__iter:16,152783
route__drc_errors__iter:17,22
route__wirelength__iter:17,152784
route__drc_errors__iter:18,29
route__wirelength__iter:18,152781
route__drc_errors__iter:19,28
route__wirelength__iter:19,152786
route__drc_errors__iter:20,28
route__wirelength__iter:20,152777
route__drc_errors__iter:21,23
route__wirelength__iter:21,152784
route__drc_errors__iter:22,23
route__wirelength__iter:22,152784
route__drc_errors__iter:23,23
route__wirelength__iter:23,152784
route__drc_errors__iter:24,23
route__wirelength__iter:24,152784
route__drc_errors__iter:25,23
